"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
9,1961,748,,,23000,"F"
9,1962,748,,,24000,"F"
9,1963,748,,,25000,"F"
9,1964,748,,,26970," "
9,1965,748,,,27860," "
9,1966,748,,,29020," "
9,1967,748,,,25000," "
9,1968,748,,,27000," "
9,1969,748,,,21300," "
9,1970,748,,,21230," "
9,1971,748,,,20760," "
9,1972,748,,,18185," "
9,1973,748,,,20570," "
9,1974,748,,,12158," "
9,1975,748,,,13180," "
9,1976,748,,,12787," "
9,1977,748,,,23180," "
9,1978,748,,,12300," "
9,1979,748,,,13980," "
9,1980,748,,,11100," "
9,1981,748,,,5400," "
9,1982,748,,,8900," "
9,1983,748,,,8500,"F"
9,1984,748,,,8600,"F"
9,1985,748,,,8500,"F"
9,1986,748,,,8400,"F"
9,1987,748,,,8300,"F"
9,1988,748,,,8200,"F"
9,1989,748,,,8100,"F"
9,1990,748,,,8000,"F"
9,1991,748,,,8000,"F"
9,1992,748,,,8000,"F"
9,1993,748,,,8000,"F"
9,1994,748,,,8000,"F"
9,1995,748,,,8000,"F"
9,1996,748,,,8000,"F"
9,1997,748,,,8000,"F"
9,1998,748,,,8000,"F"
9,1999,748,,,7000,"F"
9,2000,748,,,7000,"F"
9,2001,748,,,7000,"F"
9,2002,748,,,7100,"F"
9,2003,748,,,7100,"F"
9,2004,748,,,7100,"F"
9,2005,748,,,7100,"F"
9,2006,748,,,7100,"F"
9,2007,748,,,7100,"F"
9,2008,748,,,7100,"F"
9,2009,748,,,7100,"F"
9,2010,748,,,7100,"F"
9,2011,748,,,7100,"F"
27,1961,748,0,"M",0,"M"
27,1962,748,0,"M",0,"M"
27,1963,748,0,"M",0,"M"
27,1964,748,0,"M",0,"M"
27,1965,748,0,"M",0,"M"
27,1966,748,0,"M",0,"M"
27,1967,748,0,"M",0,"M"
27,1968,748,0,"M",0,"M"
27,1969,748,0,"M",0,"M"
27,1970,748,0,"M",0,"M"
27,1971,748,0,"M",0,"M"
27,1972,748,0,"M",0,"M"
27,1973,748,0,"M",0,"M"
27,1974,748,0,"M",0,"M"
27,1975,748,0,"M",0,"M"
27,1976,748,0,"M",0,"M"
27,1977,748,0,"M",0,"M"
27,1978,748,0,"M",0,"M"
27,1979,748,0,"M",0,"M"
27,1980,748,0,"M",0,"M"
27,1981,748,0,"M",0,"M"
27,1982,748,0,"M",0,"M"
27,1983,748,0,"M",0,"M"
27,1984,748,0,"M",0,"M"
27,1985,748,0,"M",0,"M"
27,1986,748,0,"M",0,"M"
27,1987,748,0,"M",0,"M"
27,1988,748,0,"M",0,"M"
27,1989,748,0,"M",0,"M"
27,1990,748,0,"M",0,"M"
27,1991,748,0,"M",0,"M"
27,1992,748,0,"M",0,"M"
27,1993,748,0,"M",0,"M"
27,1994,748,0,"M",0,"M"
27,1995,748,0,"M",0,"M"
27,1996,748,0,"M",0,"M"
27,1997,748,0,"M",0,"M"
27,1998,748,0,"M",0,"M"
27,1999,748,0,"M",0,"M"
27,2000,748,0,"M",0,"M"
27,2001,748,0,"M",0,"M"
27,2002,748,0,"M",0,"M"
27,2003,748,0,"M",0,"M"
27,2004,748,0,"M",0,"M"
27,2005,748,0,"M",0,"M"
27,2006,748,0,"M",0,"M"
27,2007,748,0,"M",0,"M"
27,2008,748,0,"M",0,"M"
27,2009,748,27," ",189," "
27,2010,748,187," ",1631," "
27,2011,748,187," ",356," "
73,1961,748,,,0,"M"
73,1962,748,,,0,"M"
73,1963,748,,,0,"M"
73,1964,748,,,0,"M"
73,1965,748,,,0,"M"
73,1966,748,,,0,"M"
73,1967,748,,,0,"M"
73,1968,748,,,0,"M"
73,1969,748,,,0,"M"
73,1970,748,,,0,"M"
73,1971,748,,,0,"M"
73,1972,748,,,0,"M"
73,1973,748,,,0,"M"
73,1974,748,,,0,"M"
73,1975,748,,,0,"M"
73,1976,748,,,0,"M"
73,1977,748,,,0,"M"
73,1978,748,,,0,"M"
73,1979,748,,,0,"M"
73,1980,748,,,0,"M"
73,1981,748,,,0,"M"
73,1982,748,,,0,"M"
73,1983,748,,,0,"M"
73,1984,748,,,0,"M"
73,1985,748,,,0,"M"
73,1986,748,,,0,"M"
73,1987,748,,,0,"M"
73,1988,748,,,0,"M"
73,1989,748,,,0,"M"
73,1990,748,,,0,"M"
73,1991,748,,,0,"M"
73,1992,748,,,100,"F"
73,1993,748,,,99,"E"
73,1994,748,,,85,"F"
73,1995,748,,,60,"F"
73,1996,748,,,50,"F"
73,1997,748,,,50,"F"
73,1998,748,,,40,"F"
73,1999,748,,,35,"F"
73,2000,748,,,30,"F"
73,2001,748,,,35,"F"
73,2002,748,,,30,"F"
73,2003,748,,,30,"F"
73,2004,748,,,30,"F"
73,2005,748,,,30,"F"
73,2006,748,,,30,"F"
73,2007,748,,,30,"F"
73,2008,748,,,30,"F"
73,2009,748,,,30,"F"
73,2010,748,,,30,"F"
73,2011,748,,,30,"F"
110,1961,748,8000," ",37000," "
110,1962,748,5000," ",22000," "
110,1963,748,5000," ",22000," "
110,1964,748,4000," ",16000," "
110,1965,748,2400," ",11500," "
110,1966,748,2300," ",12400," "
110,1967,748,3300," ",20900," "
110,1968,748,2900," ",20800," "
110,1969,748,2000," ",11900," "
110,1970,748,1800,"F",12000,"F"
110,1971,748,1800,"F",12000,"F"
110,1972,748,1600,"F",12000,"F"
110,1973,748,1600,"F",12000,"F"
110,1974,748,1400,"F",12000,"F"
110,1975,748,1400,"F",12000,"F"
110,1976,748,1200,"F",11000,"F"
110,1977,748,1200,"F",11000,"F"
110,1978,748,1300,"F",12000," "
110,1979,748,1000,"F",9000,"F"
110,1980,748,800,"F",7000,"F"
110,1981,748,800,"F",7000,"F"
110,1982,748,600,"F",5000,"F"
110,1983,748,400,"F",3500,"F"
110,1984,748,320," ",2800,"F"
110,1985,748,290," ",2500,"F"
110,1986,748,240," ",2100,"F"
110,1987,748,220," ",1900,"F"
110,1988,748,200," ",1700,"F"
110,1989,748,200," ",1700,"F"
110,1990,748,150,"F",1400,"F"
110,1991,748,70,"F",1000,"F"
110,1992,748,35,"F",500,"F"
110,1993,748,14,"F",200,"F"
110,1994,748,0," ",0," "
110,1995,748,0," ",0," "
110,1996,748,0," ",0," "
110,1997,748,0,"T",0," "
110,1998,748,0," ",0," "
110,1999,748,0,"T",0,"T"
110,2000,748,0,"T",0,"T"
110,2001,748,0,"T",0,"T"
110,2002,748,0,"T",0,"T"
110,2003,748,0,"T",0,"T"
110,2004,748,0,"T",0,"T"
110,2005,748,0,"T",0,"T"
110,2006,748,0,"T",0,"T"
