"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
231,1961,68,83162," ",180980," "
231,1962,68,72235," ",161288," "
231,1963,68,43544," ",96902," "
231,1964,68,66894," ",127617," "
231,1965,68,83080," ",188130," "
231,1966,68,83809," ",181723," "
231,1967,68,65497," ",157829," "
231,1968,68,74987," ",169223," "
231,1969,68,73895," ",198534," "
231,1970,68,55239," ",121190," "
231,1971,68,70293," ",204607," "
231,1972,68,63535," ",190186," "
231,1973,68,60216," ",168409," "
231,1974,68,76363," ",174269," "
231,1975,68,90729," ",246149," "
231,1976,68,84093," ",275707," "
231,1977,68,62650," ",195770," "
231,1978,68,57100," ",180580," "
231,1979,68,72560," ",243380," "
231,1980,68,90250," ",250520," "
231,1981,68,1e+05," ",352270," "
231,1982,68,0,"F",0,"F"
231,1983,68,0," ",0," "
231,1984,68,0," ",0," "
231,1985,68,0," ",0," "
231,1986,68,0," ",0," "
231,1987,68,0," ",0," "
231,1988,68,0," ",0," "
231,1989,68,0," ",0," "
231,1990,68,0," ",0," "
231,1991,68,0," ",0," "
231,1992,68,0," ",0," "
231,1993,68,0,"M",0,"M"
231,1994,68,0,"M",0,"M"
231,1995,68,0,"M",0,"M"
231,1996,68,0,"M",0,"M"
231,1997,68,0,"M",0,"M"
231,1998,68,0,"M",0,"M"
231,1999,68,0,"M",0,"M"
231,2000,68,0,"M",0,"M"
231,2001,68,0,"M",0,"M"
231,2002,68,0,"M",0,"M"
231,2003,68,0,"M",0,"M"
231,2004,68,0,"M",0,"M"
231,2005,68,0,"M",0,"M"
231,2006,68,0,"M",0,"M"
231,2007,68,0,"M",0,"M"
231,2008,68,0,"M",0,"M"
231,2009,68,0,"M",0,"M"
231,2010,68,0,"M",0,"M"
231,2011,68,0,"M",0,"M"
